,Unnamed: 0,firm,kiscode,kiscode_tf
28,28,(주)미디어로그,134382,134382
29,29,엘지엠엠에이(주),356778,356778
30,30,태극제약(주),148750,148750
31,31,(주)엘지경영개발원,812650,812650
32,32,(주)테크로스워터앤에너지,H80067,18080067
33,33,우지막코리아(주),466839,466839
34,34,에이스냉동공조(주),132937,132937
35,35,(주)씨텍,351288,351288
36,36,(주)미래엠,IQ5980,1902805980
37,37,(주)에프엠지,236442,236442
38,38,(주)한국음료,C16505,13016505
39,39,(주)엘베스트,C49889,13049889
40,40,(주)엘지스포츠,990094,990094
41,41,(주)코리아일레콤,215865,215865
42,42,(주)데이콤크로싱,167990,167990
43,43,세종그린파워(주),M40722,24040722
44,44,당진탱크터미널(주),B97276,12097276
45,45,(주)에스앤아이씨엠,JM4204,2102404204
46,46,(주)위드유,J22169,21022169
47,47,(주)행복누리,J03838,21003838
48,48,이노위드(주),I09557,19009557
49,49,(주)행복마루,HS8350,1803108350
50,50,(주)밝은누리,HH4790,1801804790
51,51,(주)루치펠로코리아,J04150,21004150
52,52,(주)판토스부산신항물류센터,C99457,13099457
53,53,(주)헬리스타항공,I23549,19023549
54,54,(주)그린누리,IX1909,1903601909
55,55,(주)나눔누리,H83624,18083624
56,56,(주)한울타리,IY2849,1903702849
57,57,(유)이스트애로우파트너스,JJ7370,2102107370
58,58,(주)드림누리,IV9073,1903409073
59,59,(주)로보메디,HC9988,1801309988
60,60,(주)미젠스토리,IJ2012,1902102012
61,61,(주)울릉샘물,JL0200,2102300200
62,62,(주)하누리,I91088,19091088
63,63,농업회사법인(주)곤지암예원,F20468,16020468
64,64,엘지파루크(주),HV1143,1803401143
65,65,크린소울(유),I63625,19063625
66,66,(주)엘지토스템비엠,C85553,13085553
67,67,살데비다코리아(주),G32064,17032064
68,68,(주)울릉추산용천수먹는샘물개발추진,IW8754,1903508754
69,69,글로벌다이너스티해외자원개발사모투자전문회사,F26423,16026423
70,70,엘지퓨얼셀시스템즈코리아(주),I66464,19066464
71,71,(주)더페이스샵,011681,11681
72,72,(주)씨앤피코스메틱스,087545,87545
73,73,캐이엔아이(주),762325,762325
74,74,제이에스제약(주),G57467,17057467
0,0,(주)현대미포조선,380903,380903
1,1,현대일렉트릭앤에너지시스템(주),IP0497,1902700497
2,2,현대건설기계(주),IP0484,1902700484
3,3,한국조선해양(주),382892,382892
4,4,현대에너지솔루션(주),IL9297,1902309297
5,5,현대중공업지주(주),IP2696,1902702696
6,6,현대삼호중공업(주),124521,124521
7,7,현대오일뱅크(주),350915,350915
8,8,현대이엔티(주),371085,371085
9,9,현대중공업모스(주),HS4308,1803104308
10,10,현대글로벌서비스(주),HW1265,1803501265
11,11,현대중공업파워시스템(주),JF4517,2101604517
12,12,현대케미칼(주),L78871,23078871
13,13,현대코어모션(주),JN6483,2102506483
14,14,현대중공업터보기계(주),HN5130,1802505130
15,15,현대오일터미널(주),H80951,18080951
16,16,현대오씨아이(주),HN4618,1802504618
17,17,현대힘스(주),C15428,13015428
18,18,(주)유봉,187151,187151
19,19,현대코스모(주),C99632,13099632
20,20,현대쉘베이스오일(주),H83652,18083652
21,21,태백풍력발전(주),C98076,13098076
22,22,창죽풍력발전(주),F39172,16039172
23,23,태백귀네미풍력발전(주),F20563,16020563
24,24,(주)코마스,C43325,13043325
25,25,현대엔진(유),492775,492775
26,26,(주)현대중공업스포츠,C12011,13012011
27,27,(주)에이치이에이,JB8076,2101208076
28,28,(주)아산카카오메디컬데이터,JK6080,2102206080
29,29,현대미래파트너스(주),JK3219,2102203219
30,30,(주)티앤에이,I79121,19079121
0,0,CJ제일제당(주),494292,494292
1,1,씨제이대한통운(주),710083,710083
2,2,씨제이씨지브이(주),102535,102535
3,3,(주)엘지헬로비전,048971,48971
4,4,CJ씨푸드(주),100129,100129
5,5,CJ(주),310182,310182
