,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,성명,주식수,지분율,주식수,지분율,주식수,지분율
100,비금융회사,케이티하이텔㈜,동일인측,계열회사,(주)케이티아이에스,1215022,3.40%,-,-,1215022,3.40%
101,비금융회사,케이티하이텔㈜,동일인측,등기된 임원,김태환,10200,0.03%,-,-,10200,0.03%
102,비금융회사,케이티하이텔㈜,동일인측,동일인 측 합계,동일인 측 합계,23975222,67.13%,-,-,23975222,67.13%
103,비금융회사,케이티하이텔㈜,기타주주,기타,기타,11739800,32.87%,-,-,11739800,32.87%
104,비금융회사,케이티하이텔㈜,총 계,총 계,총 계,35715022,100.00%,-,-,35715022,100.00%
105,비금융회사,㈜스카이라이프티브이,동일인측,동일인,㈜케이티,6000000,14.85%,-,-,6000000,14.85%
106,비금융회사,㈜스카이라이프티브이,동일인측,계열회사,㈜케이티스카이라이프,31410000,77.73%,-,-,31410000,77.73%
107,비금융회사,㈜스카이라이프티브이,동일인측,동일인 측 합계,동일인 측 합계,37410000,92.58%,-,-,37410000,92.58%
108,비금융회사,㈜스카이라이프티브이,기타주주,기타,기타,3000000,7.42%,-,-,3000000,7.42%
109,비금융회사,㈜스카이라이프티브이,총계,총계,총계,40410000,100.00%,-,-,40410000,100.00%
110,비금융회사,㈜에이치엔씨네트워크,동일인측,동일인,㈜케이티,8903,1.00%,-,-,8903,1.00%
111,비금융회사,㈜에이치엔씨네트워크,동일인측,계열회사,비씨카드㈜,880747,99.00%,-,-,880747,99.00%
112,비금융회사,㈜에이치엔씨네트워크,동일인측,동일인 측 합계,동일인 측 합계,889650,100.00%,-,-,889650,100.00%
113,비금융회사,㈜에이치엔씨네트워크,기타주주,기타,기타,-,-,-,-,-,-
114,비금융회사,㈜에이치엔씨네트워크,총계,총계,총계,889650,100.00%,-,-,889650,100.00%
115,비금융회사,이니텍㈜,동일인측,계열회사,㈜에이치엔씨네트워크,11280069,57.00%,-,-,11280069,57.00%
116,비금융회사,이니텍㈜,동일인측,자기주식,이니텍㈜,399280,2.02%,-,-,399280,2.02%
117,비금융회사,이니텍㈜,동일인측,동일인 측 합계,동일인 측 합계,11679349,59.01%,-,-,11679349,59.01%
118,비금융회사,이니텍㈜,기타주주,기타,기타주주,8111567,40.99%,-,-,8111567,40.99%
119,비금융회사,이니텍㈜,총계,총계,총계,19790916,100.00%,-,-,19790916,100.00%
120,비금융회사,㈜케이티에이엠씨,동일인측,계열회사,㈜케이티에스테이트,1400000,100.00%,-,-,1400000,100.00%
121,비금융회사,㈜케이티에이엠씨,동일인측,동일인 측 합계,동일인 측 합계,1400000,100.00%,-,-,1400000,100.00%
122,비금융회사,㈜케이티에이엠씨,기타주주,기타,기타,-,-,-,-,-,-
123,비금융회사,㈜케이티에이엠씨,총계,총계,총계,1400000,100.00%,-,-,1400000,100.00%
124,비금융회사,케이티지디에이치㈜,동일인측,동일인,㈜케이티,7400000,100.00%,-,-,7400000,100.00%
125,비금융회사,케이티지디에이치㈜,동일인측,동일인 측 합계,동일인 측 합계,7400000,100.00%,-,-,7400000,100.00%
126,비금융회사,케이티지디에이치㈜,기타주주,기타,기타,-,-,-,-,-,-
127,비금융회사,케이티지디에이치㈜,총계,총계,총계,7400000,100.00%,-,-,7400000,100.00%
128,비금융회사,㈜케이디리빙,동일인측,계열회사,㈜케이티에스테이트,102000,51.00%,-,-,102000,51.00%
129,비금융회사,㈜케이디리빙,동일인측,동일인 측 합계,동일인 측 합계,102000,51.00%,-,-,102000,51.00%
130,비금융회사,㈜케이디리빙,기타주주,기타,기타,98000,49.00%,-,-,98000,49.00%
131,비금융회사,㈜케이디리빙,총계,총계,총계,200000,100.00%,-,-,200000,100.00%
132,비금융회사,㈜케이티샛,동일인측,동일인,㈜케이티,10000000,100.00%,-,-,10000000,100.00%
133,비금융회사,㈜케이티샛,동일인측,동일인 측 합계,동일인 측 합계,10000000,100.00%,-,,10000000,100.00%
134,비금융회사,㈜케이티샛,기타주주,기타,기타,-,-,-,-,-,-
135,비금융회사,㈜케이티샛,총계,총계,총계,10000000,100.00%,-,-,10000000,100.00%
136,비금융회사,㈜케이티스포츠,동일인측,동일인,㈜케이티,1320000,66.00%,-,-,1320000,66.00%
137,비금융회사,㈜케이티스포츠,동일인측,계열회사,㈜케이티씨에스,120000,6.00%,-,-,120000,6.00%
138,비금융회사,㈜케이티스포츠,동일인측,계열회사,㈜케이티아이에스,120000,6.00%,-,-,120000,6.00%
139,비금융회사,㈜케이티스포츠,동일인측,계열회사,㈜케이티스카이라이프,360000,18.00%,-,-,360000,18.00%
140,비금융회사,㈜케이티스포츠,동일인측,계열회사,비씨카드㈜,80000,4.00%,-,-,80000,4.00%
141,비금융회사,㈜케이티스포츠,동일인측,동일인 측 합계,동일인 측 합계,2000000,100.00%,-,-,2000000,100.00%
142,비금융회사,㈜케이티스포츠,기타주주,기타,기타,-,-,-,-,-,-
143,비금융회사,㈜케이티스포츠,총계,총계,총계,2000000,100.00%,-,-,2000000,100.00%
144,비금융회사,㈜오토피온,동일인측,동일인,㈜케이티,400000,100.00%,-,-,400000,100.00%
145,비금융회사,㈜오토피온,동일인측,동일인 측 합계,동일인 측 합계,400000,100.00%,-,-,400000,100.00%
146,비금융회사,㈜오토피온,기타주주,기타,기타,-,-,-,-,-,-
147,비금융회사,㈜오토피온,총계,총계,총계,400000,100.00%,-,-,400000,100.00%
148,비금융회사,㈜케이티엠모바일,동일인측,동일인,㈜케이티,40000000,100.00%,-,-,40000000,100.00%
149,비금융회사,㈜케이티엠모바일,동일인측,동일인 측 합계,동일인 측 합계,40000000,100.00%,-,-,40000000,100.00%
150,비금융회사,㈜케이티엠모바일,기타주주,기타,기타,-,-,-,-,-,-
151,비금융회사,㈜케이티엠모바일,총 계,총 계,총 계,40000000,100.00%,-,-,40000000,100.00%
152,비금융회사,㈜ 케이티서비스 북부,동일인측,동일인,㈜케이티,476094,67.31%,-,-,476094,67.31%
153,비금융회사,㈜ 케이티서비스 북부,동일인측,동일인 측 합계,동일인 측 합계,476094,67.31%,-,-,476094,67.31%
154,비금융회사,㈜ 케이티서비스 북부,기타주주,기타,기타,231191,32.69%,-,-,231191,32.69%
155,비금융회사,㈜ 케이티서비스 북부,총 계,총 계,총 계,707285,100.00%,-,-,707285,100.00%
156,비금융회사,㈜ 케이티서비스남부,동일인측,동일인,㈜케이티,531127,76.38%,-,-,531127,76.38%
157,비금융회사,㈜ 케이티서비스남부,동일인측,계열회사,㈜케이티서비스북부,6624,0.95%,-,-,6624,0.95%
158,비금융회사,㈜ 케이티서비스남부,동일인측,동일인 측 합계,동일인 측 합계,537751,77.33%,-,-,537751,77.33%
159,비금융회사,㈜ 케이티서비스남부,기타주주,기타,기타,157664,22.67%,-,-,157664,22.67%
160,비금융회사,㈜ 케이티서비스남부,총 계,총 계,총 계,695415,100.00%,-,-,695415,100.00%
161,비금융회사,㈜후후앤컴퍼니,동일인측,동일인,-,-,-,-,-,-,-
162,비금융회사,㈜후후앤컴퍼니,동일인측,계열회사,㈜케이티씨에스,2000000,100.00%,-,-,2000000,100.00%
163,비금융회사,㈜후후앤컴퍼니,동일인측,동일인 측 합계,동일인 측 합계,2000000,100.00%,-,-,2000000,100.00%
164,비금융회사,㈜후후앤컴퍼니,기타주주,기타,기타,-,-,-,-,-,-
165,비금융회사,㈜후후앤컴퍼니,총계,총계,총계,2000000,100.00%,-,-,2000000,100.00%
166,비금융회사,㈜플레이디,동일인측,동일인,㈜케이티,17393,33.33%,-,-,17393,33.33%
167,비금융회사,㈜플레이디,동일인측,계열회사,㈜나스미디어,34787,66.67%,-,-,34787,66.67%
168,비금융회사,㈜플레이디,동일인측,동일인 측 합계,동일인 측 합계,52180,100.00%,-,-,52180,100.00%
169,비금융회사,㈜플레이디,기타주주,기타,기타,-,-,-,-,-,-
170,비금융회사,㈜플레이디,총계,총계,총계,52180,100.00%,-,-,52180,100.00%
171,비금융회사,㈜케이티엠오에스북부,동일인측,동일인,㈜케이티,409991,80.87%,-,-,409991,80.87%
172,비금융회사,㈜케이티엠오에스북부,동일인측,자기주식,㈜케이티엠오에스북부,97013,19.13%,-,-,97013,19.13%
173,비금융회사,㈜케이티엠오에스북부,동일인측,동일인측 합계,동일인측 합계,507004,100.00%,-,-,507004,100.00%
174,비금융회사,㈜케이티엠오에스북부,기타주주,기타,기타,-,-,-,-,-,-
175,비금융회사,㈜케이티엠오에스북부,총계,총계,총계,507004,100.00%,-,-,507004,100.00%
176,비금융회사,㈜케이티엠오에스남부,동일인측,동일인,㈜케이티,248515,75.07%,-,-,248515,75.07%
177,비금융회사,㈜케이티엠오에스남부,동일인측,자기주식,㈜케이티엠오에스남부,78402,23.68%,-,-,78402,23.68%
178,비금융회사,㈜케이티엠오에스남부,동일인측,동일인측 합계,동일인측 합계,326917,98.75%,-,-,326917,98.75%
179,비금융회사,㈜케이티엠오에스남부,기타주주,기타,기타,4126,1.25%,-,-,4126,1.25%
180,비금융회사,㈜케이티엠오에스남부,총계,총계,총계,331043,100.00%,-,-,331043,100.00%
181,비금융회사,㈜케이에이치에스,동일인측,비영리법인,(재)케이티그룹희망나눔재단,20000,100.00%,-,-,20000,100.00%
182,비금융회사,㈜케이에이치에스,동일인측,동일인측 합계,동일인측 합계,20000,100.00%,-,-,20000,100.00%
183,비금융회사,㈜케이에이치에스,기타주주,기타,기타,-,-,-,-,-,-
184,비금융회사,㈜케이에이치에스,총계,총계,총계,20000,100.00%,-,-,20000,100.00%
185,비금융회사,넥스트커넥트피에프브이㈜,동일인측,동일인,㈜케이티,73130099,100.00%,-,-,73130099,95.00%
186,비금융회사,넥스트커넥트피에프브이㈜,동일인측,동일인측 합계,동일인측 합계,73130099,100.00%,-,-,73130099,95.00%
187,비금융회사,넥스트커넥트피에프브이㈜,기타주주,기타,기타,-,-,3848953,100.00%,3848953,5.00%
188,비금융회사,넥스트커넥트피에프브이㈜,총계,총계,총계,73130099,100.00%,3848953,100.00%,76979052,100.00%
189,비금융회사,(주)케이티희망지음,동일인측,동일인,㈜케이티,300000,100.00%,-,-,300000,100.00%
190,비금융회사,(주)케이티희망지음,동일인측,동일인측 합계,동일인측 합계,300000,100.00%,-,-,300000,100.00%
191,비금융회사,(주)케이티희망지음,기타주주,기타,기타,-,-,-,-,-,-
192,비금융회사,(주)케이티희망지음,총계,총계,총계,300000,100.00%,-,-,300000,100.00%
