,Unnamed: 0,firm,kiscode,kiscode_tf
46,46,(주)넥스포쏠라,IU1093,1903301093
47,47,지엘마린(유),JX5905,2103605905
48,48,팜모아(주),JU9636,2103309636
49,49,(유)빌드윈문경태양광발전,JJ5268,2102105268
50,50,(유)빌드윈인동태양광발전,JJ5267,2102105267
51,51,(유)빌드윈충주지앤피태양광발전,LU7375,2303307375
52,52,(주)넥스포에너지,IU1092,1903301092
53,53,(주)세종전선,JY0547,2103700547
54,54,(주)이원쏠라,LT6332,2303206332
55,55,이지전선(주),LB7891,2301207891
56,56,(주)한성,502022,502022
0,0,(주)포스코,370673,370673
1,1,(주)포스코케미칼,520233,520233
2,2,(주)포스코인터내셔널,158358,158358
3,3,포스코강판(주),371564,371564
4,4,(주)포스코아이씨티,813605,813605
5,5,(주)포스코엠텍,370550,370550
6,6,(주)포스코건설,502146,502146
7,7,(주)포스코오앤엠,084878,84878
8,8,(주)포스코에이앤씨건축사사무소,039012,39012
9,9,(주)포스코휴먼스,F06292,16006292
10,10,포스코에너지(주),128380,128380
11,11,(주)에스엔엔씨,388462,388462
12,12,한국퓨얼셀(주),JV3084,2103403084
13,13,(주)포스코인재창조원,CD3034,1301403034
14,14,(주)엔투비,158326,158326
15,15,(주)피엠씨텍,I81742,19081742
16,16,(주)포스코경영연구원,398594,398594
17,17,삼척블루파워(주),H78737,18078737
18,18,(주)피엔알,C06102,13006102
19,19,(주)부산이앤이,F22373,16022373
20,20,포스코기술투자(주),625256,625256
21,21,포스코터미날(주),099832,99832
22,22,(주)순천에코트랜스,H31276,18031276
23,23,(주)포항에스알디씨,G74340,17074340
24,24,우이신설경전철(주),687206,687206
25,25,(주)에스피에이치,M35449,24035449
26,26,(주)탄천이앤이,C92845,13092845
27,27,(주)포스코알텍,IQ9194,1902809194
28,28,송도개발피엠씨(유),JH5858,2101805858
29,29,(주)포스코에스피에스,LD9612,2301409612
30,30,(주)피앤오케미칼,LI5555,2301905555
31,31,게일인터내셔널코리아(유),C10551,13010551
32,32,포항특수용접봉(주),I67173,19067173
