,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
95,비금융회사,케이티파워텔,동일인측,동일인,케이티,7771418,44.85%,-,-,7771418.0,44.85%,17329432.0,0.44845197465214093,0,0,0.44845197465214093,0.4484632271848264,
96,비금융회사,케이티파워텔,동일인측,등기된 임원,김봉균,100,0.00%,-,-,100.0,0.00%,17329432.0,5.770529582273672e-06,50,0,,0.4484632271848264,
97,비금융회사,케이티파워텔,동일인측,등기된 임원,최규철,95,0.00%,-,-,95.0,0.00%,17329432.0,5.4820031031599886e-06,50,0,,0.4484632271848264,
98,비금융회사,케이티파워텔,동일인측,동일인 측 합계,동일인 측 합계,7771613,44.85%,-,-,7771613.0,44.85%,17329432.0,0.4484632271848264,50,50,,,
99,비금융회사,케이티파워텔,기타주주,기타,기타,9557819,55.15%,-,-,9557819.0,55.15%,17329432.0,0.5515367728151737,99,99,0.5515367728151737,0.5515367728151737,
100,비금융회사,케이티파워텔,총계,총계,총계,17329432,100.00%,-,-,17329432.0,100.00%,17329432.0,1.0,50,50,,,
101,비금융회사,케이티하이텔,동일인측,동일인,케이티,22750000,63.70%,-,-,22750000.0,63.70%,35715022.0,0.6369868678787318,0,0,0.6369868678787318,0.6373004614136875,
102,비금융회사,케이티하이텔,동일인측,계열회사,케이티아이에스,1215022,3.40%,-,-,1215022.0,3.40%,35715022.0,0.03401991464543967,1,1,0.03401991464543967,0.03401991464543967,케이티아이에스
103,비금융회사,케이티하이텔,동일인측,등기된 임원,김태환,10200,0.03%,-,-,10200.0,0.03%,35715022.0,0.00028559411219178306,50,0,,0.6373004614136875,
104,비금융회사,케이티하이텔,동일인측,등기된 임원,한영도,1000,0.00%,-,-,1000.0,0.00%,35715022.0,2.79994227639003e-05,50,0,,0.6373004614136875,
105,비금융회사,케이티하이텔,동일인측,동일인 측 합계,동일인 측 합계,23976222,67.13%,-,-,23976222.0,67.13%,35715022.0,0.6713203760591272,50,50,,,
106,비금융회사,케이티하이텔,기타주주,기타,기타,11738800,32.87%,-,-,11738800.0,32.87%,35715022.0,0.32867962394087286,99,99,0.32867962394087286,0.32867962394087286,
107,비금융회사,케이티하이텔,총 계,총 계,총 계,35715022,100.00%,-,-,35715022.0,100.00%,35715022.0,1.0,50,50,,,
108,비금융회사,스카이라이프티브이,동일인측,동일인,케이티,6000000,14.85%,-,-,6000000.0,14.85%,40410000.0,0.14847809948032664,0,0,0.14847809948032664,0.14847809948032664,
109,비금융회사,스카이라이프티브이,동일인측,계열회사,케이티스카이라이프,31410000,77.73%,-,-,31410000.0,77.73%,40410000.0,0.77728285077951,1,1,0.77728285077951,0.77728285077951,케이티스카이라이프
110,비금융회사,스카이라이프티브이,동일인측,동일인 측 합계,동일인 측 합계,37410000,92.58%,-,-,37410000.0,92.58%,40410000.0,0.9257609502598366,50,50,,,
111,비금융회사,스카이라이프티브이,기타주주,기타,기타,3000000,7.42%,-,-,3000000.0,7.42%,40410000.0,0.07423904974016332,99,99,0.07423904974016332,0.07423904974016332,
112,비금융회사,스카이라이프티브이,총계,총계,총계,40410000,100.00%,-,-,40410000.0,100.00%,40410000.0,1.0,50,50,,,
113,비금융회사,에이치엔씨네트워크,동일인측,동일인,케이티,8903,1.00%,-,-,8903.0,1.00%,889650.0,0.010007306244028551,0,0,0.010007306244028551,0.010007306244028551,
114,비금융회사,에이치엔씨네트워크,동일인측,계열회사,비씨카드,880747,99.00%,-,-,880747.0,99.00%,889650.0,0.9899926937559714,1,1,0.9899926937559714,0.9899926937559714,비씨카드
115,비금융회사,에이치엔씨네트워크,동일인측,동일인 측 합계,동일인 측 합계,889650,100.00%,-,-,889650.0,100.00%,889650.0,1.0,50,50,,,
116,비금융회사,에이치엔씨네트워크,기타주주,기타,기타,-,-,-,-,,-,889650.0,,99,99,0.0,0.0,
117,비금융회사,에이치엔씨네트워크,총계,총계,총계,889650,100.00%,-,-,889650.0,100.00%,889650.0,1.0,50,50,,,
118,비금융회사,이니텍,동일인측,계열회사,에이치엔씨네트워크,11280069,57.00%,-,-,11280069.0,57.00%,19790916.0,0.5699619461777312,1,1,0.5699619461777312,0.5699619461777312,에이치엔씨네트워크
119,비금융회사,이니텍,동일인측,자기주식,이니텍,399280,2.02%,-,-,399280.0,2.02%,19790916.0,0.020174912570999747,50,0,,0.020174912570999747,
120,비금융회사,이니텍,동일인측,동일인 측 합계,동일인 측 합계,11679349,59.01%,-,-,11679349.0,59.01%,19790916.0,0.590136858748731,50,50,,,
121,비금융회사,이니텍,기타주주,기타,기타주주,8111567,40.99%,-,-,8111567.0,40.99%,19790916.0,0.409863141251269,99,99,0.409863141251269,0.409863141251269,
122,비금융회사,이니텍,총계,총계,총계,19790916,100.00%,-,-,19790916.0,100.00%,19790916.0,1.0,50,50,,,
123,비금융회사,케이티에이엠씨,동일인측,계열회사,케이티에스테이트,1400000,100.00%,-,-,1400000.0,100.00%,1400000.0,1.0,1,1,1.0,1.0,케이티에스테이트
124,비금융회사,케이티에이엠씨,동일인측,동일인 측 합계,동일인 측 합계,1400000,100.00%,-,-,1400000.0,100.00%,1400000.0,1.0,50,50,,,
125,비금융회사,케이티에이엠씨,기타주주,기타,기타,-,-,-,-,,-,1400000.0,,99,99,0.0,0.0,
126,비금융회사,케이티에이엠씨,총계,총계,총계,1400000,100.00%,-,-,1400000.0,100.00%,1400000.0,1.0,50,50,,,
127,비금융회사,케이티지디에이치,동일인측,동일인,케이티,7400000,100.00%,-,-,7400000.0,100.00%,7400000.0,1.0,0,0,1.0,1.0,
128,비금융회사,케이티지디에이치,동일인측,동일인 측 합계,동일인 측 합계,7400000,100.00%,-,-,7400000.0,100.00%,7400000.0,1.0,50,50,,,
129,비금융회사,케이티지디에이치,기타주주,기타,기타,-,-,-,-,,-,7400000.0,,99,99,0.0,0.0,
130,비금융회사,케이티지디에이치,총계,총계,총계,7400000,100.00%,-,-,7400000.0,100.00%,7400000.0,1.0,50,50,,,
131,비금융회사,케이디리빙,동일인측,계열회사,케이티에스테이트,102000,51.00%,-,-,102000.0,51.00%,200000.0,0.51,1,1,0.51,0.51,케이티에스테이트
132,비금융회사,케이디리빙,동일인측,동일인 측 합계,동일인 측 합계,102000,51.00%,-,-,102000.0,51.00%,200000.0,0.51,50,50,,,
133,비금융회사,케이디리빙,기타주주,기타,기타,98000,49.00%,-,-,98000.0,49.00%,200000.0,0.49,99,99,0.49,0.49,
134,비금융회사,케이디리빙,총계,총계,총계,200000,100.00%,-,-,200000.0,100.00%,200000.0,1.0,50,50,,,
135,비금융회사,케이티샛,동일인측,동일인,케이티,10000000,100.00%,-,-,10000000.0,100.00%,10000000.0,1.0,0,0,1.0,1.0,
136,비금융회사,케이티샛,동일인측,동일인 측 합계,동일인 측 합계,10000000,100.00%,-,-,10000000.0,100.00%,10000000.0,1.0,50,50,,,
137,비금융회사,케이티샛,기타주주,기타,기타,-,-,-,-,,-,10000000.0,,99,99,0.0,0.0,
138,비금융회사,케이티샛,총계,총계,총계,10000000,100.00%,-,-,10000000.0,100.00%,10000000.0,1.0,50,50,,,
139,비금융회사,케이티스포츠,동일인측,동일인,케이티,1980000,66.00%,-,-,1980000.0,66.00%,3000000.0,0.66,0,0,0.66,0.66,
140,비금융회사,케이티스포츠,동일인측,계열회사,케이티씨에스,180000,6.00%,-,-,180000.0,6.00%,3000000.0,0.06,1,1,0.06,0.06,케이티씨에스
141,비금융회사,케이티스포츠,동일인측,계열회사,케이티아이에스,180000,6.00%,-,-,180000.0,6.00%,3000000.0,0.06,1,1,0.06,0.06,케이티아이에스
142,비금융회사,케이티스포츠,동일인측,계열회사,케이티스카이라이프,540000,18.00%,-,-,540000.0,18.00%,3000000.0,0.18,1,1,0.18,0.18,케이티스카이라이프
143,비금융회사,케이티스포츠,동일인측,계열회사,비씨카드,120000,4.00%,-,-,120000.0,4.00%,3000000.0,0.04,1,1,0.04,0.04,비씨카드
144,비금융회사,케이티스포츠,동일인측,동일인 측 합계,동일인 측 합계,3000000,100.00%,-,-,3000000.0,100.00%,3000000.0,1.0,50,50,,,
145,비금융회사,케이티스포츠,기타주주,기타,기타,-,-,-,-,,-,3000000.0,,99,99,0.0,0.0,
146,비금융회사,케이티스포츠,총계,총계,총계,3000000,100.00%,-,-,3000000.0,100.00%,3000000.0,1.0,50,50,,,
147,비금융회사,오토피온,동일인측,동일인,케이티,400000,100.00%,-,-,400000.0,100.00%,400000.0,1.0,0,0,1.0,1.0,
148,비금융회사,오토피온,동일인측,동일인 측 합계,동일인 측 합계,400000,100.00%,-,-,400000.0,100.00%,400000.0,1.0,50,50,,,
149,비금융회사,오토피온,기타주주,기타,기타,-,-,-,-,,-,400000.0,,99,99,0.0,0.0,
150,비금융회사,오토피온,총계,총계,총계,400000,100.00%,-,-,400000.0,100.00%,400000.0,1.0,50,50,,,
151,비금융회사,케이티엠모바일,동일인측,동일인,케이티,40000000,100.00%,-,-,40000000.0,100.00%,40000000.0,1.0,0,0,1.0,1.0,
152,비금융회사,케이티엠모바일,동일인측,동일인 측 합계,동일인 측 합계,40000000,100.00%,-,-,40000000.0,100.00%,40000000.0,1.0,50,50,,,
153,비금융회사,케이티엠모바일,기타주주,기타,기타,-,-,-,-,,-,40000000.0,,99,99,0.0,0.0,
154,비금융회사,케이티엠모바일,총 계,총 계,총 계,40000000,100.00%,-,-,40000000.0,100.00%,40000000.0,1.0,50,50,,,
155,비금융회사, 케이티서비스 북부,동일인측,동일인,케이티,476094,67.31%,-,-,476094.0,67.31%,707285.0,0.6731289367086818,0,0,0.6731289367086818,0.6731289367086818,
156,비금융회사, 케이티서비스 북부,동일인측,동일인 측 합계,동일인 측 합계,476094,67.31%,-,-,476094.0,67.31%,707285.0,0.6731289367086818,50,50,,,
157,비금융회사, 케이티서비스 북부,기타주주,기타,기타,231191,32.69%,-,-,231191.0,32.69%,707285.0,0.3268710632913182,99,99,0.3268710632913182,0.3268710632913182,
158,비금융회사, 케이티서비스 북부,총 계,총 계,총 계,707285,100.00%,-,-,707285.0,100.00%,707285.0,1.0,50,50,,,
159,비금융회사, 케이티서비스남부,동일인측,동일인,케이티,531127,76.38%,-,-,531127.0,76.38%,695415.0,0.7637554553755671,0,0,0.7637554553755671,0.7637554553755671,
160,비금융회사, 케이티서비스남부,동일인측,계열회사,케이티서비스북부,6624,0.95%,-,-,6624.0,0.95%,695415.0,0.00952524751407433,1,1,0.00952524751407433,0.00952524751407433,케이티서비스북부
161,비금융회사, 케이티서비스남부,동일인측,동일인 측 합계,동일인 측 합계,537751,77.33%,-,-,537751.0,77.33%,695415.0,0.7732807028896415,50,50,,,
162,비금융회사, 케이티서비스남부,기타주주,기타,기타,157664,22.67%,-,-,157664.0,22.67%,695415.0,0.22671929711035857,99,99,0.22671929711035857,0.22671929711035857,
163,비금융회사, 케이티서비스남부,총 계,총 계,총 계,695415,100.00%,-,-,695415.0,100.00%,695415.0,1.0,50,50,,,
164,비금융회사,후후앤컴퍼니,동일인측,계열회사,케이티씨에스,2000000,100.00%,-,-,2000000.0,100.00%,2000000.0,1.0,1,1,1.0,1.0,케이티씨에스
165,비금융회사,후후앤컴퍼니,동일인측,동일인 측 합계,동일인 측 합계,2000000,100.00%,-,-,2000000.0,100.00%,2000000.0,1.0,50,50,,,
166,비금융회사,후후앤컴퍼니,기타주주,기타,기타,-,-,-,-,,-,2000000.0,,99,99,0.0,0.0,
