,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,동일인과의 관계3,divisor,shares,type,type2,own,own2,ownername
94,비금융회사,케이티파워텔,동일인측,등기된 임원,김봉균,100,0.00%,-,-,100.0,0.00%,등기된 임원,17329432.0,5.770529582273672e-06,50,0,,0.4484632271848264,
95,비금융회사,케이티파워텔,동일인측,등기된 임원,배기동,95,0.00%,-,-,95.0,0.00%,등기된 임원,17329432.0,5.4820031031599886e-06,50,0,,0.4484632271848264,
96,비금융회사,케이티파워텔,동일인측,동일인 측 합계,동일인 측 합계,7771613,44.85%,-,-,7771613.0,44.85%,동일인 측 합계,17329432.0,0.4484632271848264,50,50,,,
97,비금융회사,케이티파워텔,기타주주,기타,기타,9557819,55.15%,-,-,9557819.0,55.15%,기타,17329432.0,0.5515367728151737,99,99,0.5515367728151737,0.5515367728151737,
98,비금융회사,케이티파워텔,총계,총계,총계,17329432,100.00%,-,-,17329432.0,100.00%,총계,17329432.0,1.0,50,50,,,
99,비금융회사,케이티하이텔,동일인측,동일인,케이티,22750000,63.70%,-,-,22750000.0,63.70%,동일인,35715022.0,0.6369868678787318,0,0,0.6369868678787318,0.6372724619909236,
100,비금융회사,케이티하이텔,동일인측,계열회사,케이티아이에스,1215022,3.40%,-,-,1215022.0,3.40%,계열회사,35715022.0,0.03401991464543967,1,1,0.03401991464543967,0.03401991464543967,케이티아이에스
101,비금융회사,케이티하이텔,동일인측,등기된 임원,김태환,10200,0.03%,-,-,10200.0,0.03%,등기된 임원,35715022.0,0.00028559411219178306,50,0,,0.6372724619909236,
102,비금융회사,케이티하이텔,동일인측,동일인 측 합계,동일인 측 합계,23975222,67.13%,-,-,23975222.0,67.13%,동일인 측 합계,35715022.0,0.6712923766363633,50,50,,,
103,비금융회사,케이티하이텔,기타주주,기타,기타,11739800,32.87%,-,-,11739800.0,32.87%,기타,35715022.0,0.32870762336363674,99,99,0.32870762336363674,0.32870762336363674,
104,비금융회사,케이티하이텔,총 계,총 계,총 계,35715022,100.00%,-,-,35715022.0,100.00%,총 계,35715022.0,1.0,50,50,,,
105,비금융회사,스카이라이프티브이,동일인측,동일인,케이티,6000000,14.85%,-,-,6000000.0,14.85%,동일인,40410000.0,0.14847809948032664,0,0,0.14847809948032664,0.14847809948032664,
106,비금융회사,스카이라이프티브이,동일인측,계열회사,케이티스카이라이프,31410000,77.73%,-,-,31410000.0,77.73%,계열회사,40410000.0,0.77728285077951,1,1,0.77728285077951,0.77728285077951,케이티스카이라이프
