,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,동일인과의 관계3,divisor,shares
132,비금융회사,케이디리빙,동일인측,동일인 측 합계,동일인 측 합계,102000,51.00%,-,-,102000.0,51.00%,동일인 측 합계,200000.0,0.51
133,비금융회사,케이디리빙,기타주주,기타,기타,98000,49.00%,-,-,98000.0,49.00%,기타,200000.0,0.49
134,비금융회사,케이디리빙,총계,총계,총계,200000,100.00%,-,-,200000.0,100.00%,총계,200000.0,1.0
135,비금융회사,케이티샛,동일인측,동일인,케이티,10000000,100.00%,-,-,10000000.0,100.00%,동일인,10000000.0,1.0
136,비금융회사,케이티샛,동일인측,동일인 측 합계,동일인 측 합계,10000000,100.00%,-,-,10000000.0,100.00%,동일인 측 합계,10000000.0,1.0
137,비금융회사,케이티샛,기타주주,기타,기타,-,-,-,-,,-,기타,10000000.0,
138,비금융회사,케이티샛,총계,총계,총계,10000000,100.00%,-,-,10000000.0,100.00%,총계,10000000.0,1.0
139,비금융회사,케이티스포츠,동일인측,동일인,케이티,1980000,66.00%,-,-,1980000.0,66.00%,동일인,3000000.0,0.66
140,비금융회사,케이티스포츠,동일인측,계열회사,케이티씨에스,180000,6.00%,-,-,180000.0,6.00%,계열회사,3000000.0,0.06
141,비금융회사,케이티스포츠,동일인측,계열회사,케이티아이에스,180000,6.00%,-,-,180000.0,6.00%,계열회사,3000000.0,0.06
142,비금융회사,케이티스포츠,동일인측,계열회사,케이티스카이라이프,540000,18.00%,-,-,540000.0,18.00%,계열회사,3000000.0,0.18
143,비금융회사,케이티스포츠,동일인측,계열회사,비씨카드,120000,4.00%,-,-,120000.0,4.00%,계열회사,3000000.0,0.04
144,비금융회사,케이티스포츠,동일인측,동일인 측 합계,동일인 측 합계,3000000,100.00%,-,-,3000000.0,100.00%,동일인 측 합계,3000000.0,1.0
145,비금융회사,케이티스포츠,기타주주,기타,기타,-,-,-,-,,-,기타,3000000.0,
146,비금융회사,케이티스포츠,총계,총계,총계,3000000,100.00%,-,-,3000000.0,100.00%,총계,3000000.0,1.0
147,비금융회사,오토피온,동일인측,동일인,케이티,400000,100.00%,-,-,400000.0,100.00%,동일인,400000.0,1.0
148,비금융회사,오토피온,동일인측,동일인 측 합계,동일인 측 합계,400000,100.00%,-,-,400000.0,100.00%,동일인 측 합계,400000.0,1.0
149,비금융회사,오토피온,기타주주,기타,기타,-,-,-,-,,-,기타,400000.0,
150,비금융회사,오토피온,총계,총계,총계,400000,100.00%,-,-,400000.0,100.00%,총계,400000.0,1.0
151,비금융회사,케이티엠모바일,동일인측,동일인,케이티,40000000,100.00%,-,-,40000000.0,100.00%,동일인,40000000.0,1.0
152,비금융회사,케이티엠모바일,동일인측,동일인 측 합계,동일인 측 합계,40000000,100.00%,-,-,40000000.0,100.00%,동일인 측 합계,40000000.0,1.0
153,비금융회사,케이티엠모바일,기타주주,기타,기타,-,-,-,-,,-,기타,40000000.0,
154,비금융회사,케이티엠모바일,총 계,총 계,총 계,40000000,100.00%,-,-,40000000.0,100.00%,총 계,40000000.0,1.0
155,비금융회사, 케이티서비스 북부,동일인측,동일인,케이티,476094,67.31%,-,-,476094.0,67.31%,동일인,707285.0,0.6731289367086818
156,비금융회사, 케이티서비스 북부,동일인측,동일인 측 합계,동일인 측 합계,476094,67.31%,-,-,476094.0,67.31%,동일인 측 합계,707285.0,0.6731289367086818
157,비금융회사, 케이티서비스 북부,기타주주,기타,기타,231191,32.69%,-,-,231191.0,32.69%,기타,707285.0,0.3268710632913182
158,비금융회사, 케이티서비스 북부,총 계,총 계,총 계,707285,100.00%,-,-,707285.0,100.00%,총 계,707285.0,1.0
159,비금융회사, 케이티서비스남부,동일인측,동일인,케이티,531127,76.38%,-,-,531127.0,76.38%,동일인,695415.0,0.7637554553755671
160,비금융회사, 케이티서비스남부,동일인측,계열회사,케이티서비스북부,6624,0.95%,-,-,6624.0,0.95%,계열회사,695415.0,0.00952524751407433
161,비금융회사, 케이티서비스남부,동일인측,동일인 측 합계,동일인 측 합계,537751,77.33%,-,-,537751.0,77.33%,동일인 측 합계,695415.0,0.7732807028896415
162,비금융회사, 케이티서비스남부,기타주주,기타,기타,157664,22.67%,-,-,157664.0,22.67%,기타,695415.0,0.22671929711035857
163,비금융회사, 케이티서비스남부,총 계,총 계,총 계,695415,100.00%,-,-,695415.0,100.00%,총 계,695415.0,1.0
164,비금융회사,후후앤컴퍼니,동일인측,계열회사,케이티씨에스,2000000,100.00%,-,-,2000000.0,100.00%,계열회사,2000000.0,1.0
165,비금융회사,후후앤컴퍼니,동일인측,동일인 측 합계,동일인 측 합계,2000000,100.00%,-,-,2000000.0,100.00%,동일인 측 합계,2000000.0,1.0
166,비금융회사,후후앤컴퍼니,기타주주,기타,기타,-,-,-,-,,-,기타,2000000.0,
167,비금융회사,후후앤컴퍼니,총계,총계,총계,2000000,100.00%,-,-,2000000.0,100.00%,총계,2000000.0,1.0
168,비금융회사,플레이디,동일인측,동일인,케이티,3008989,23.46%,-,-,3008989.0,23.46%,동일인,12827140.0,0.23457988296689675
169,비금융회사,플레이디,동일인측,계열회사,나스미디어,6018151,46.92%,-,-,6018151.0,46.92%,계열회사,12827140.0,0.46917325296207885
170,비금융회사,플레이디,동일인측,동일인 측 합계,동일인 측 합계,9027140,70.38%,-,-,9027140.0,70.38%,동일인 측 합계,12827140.0,0.7037531359289756
171,비금융회사,플레이디,기타주주,기타,기타,3800000,29.62%,-,-,3800000.0,29.62%,기타,12827140.0,0.2962468640710244
172,비금융회사,플레이디,총계,총계,총계,12827140,100.00%,-,-,12827140.0,100.00%,총계,12827140.0,1.0
173,비금융회사,케이티엠오에스북부,동일인측,동일인,케이티,409991,80.87%,-,-,409991.0,80.87%,동일인,507004.0,0.8086543695907724
174,비금융회사,케이티엠오에스북부,동일인측,자기주식,케이티엠오에스북부,97013,19.13%,-,-,97013.0,19.13%,자기주식,507004.0,0.19134563040922753
175,비금융회사,케이티엠오에스북부,동일인측,동일인측 합계,동일인측 합계,507004,100.00%,-,-,507004.0,100.00%,동일인측 합계,507004.0,1.0
176,비금융회사,케이티엠오에스북부,기타주주,기타,기타,-,-,-,-,,-,기타,507004.0,
177,비금융회사,케이티엠오에스북부,총계,총계,총계,507004,100.00%,-,-,507004.0,100.00%,총계,507004.0,1.0
178,비금융회사,케이티엠오에스남부,동일인측,동일인,케이티,248515,75.07%,-,-,248515.0,75.07%,동일인,331043.0,0.7507030808686485
179,비금융회사,케이티엠오에스남부,동일인측,자기주식,케이티엠오에스남부,78402,23.68%,-,-,78402.0,23.68%,자기주식,331043.0,0.23683328147702867
180,비금융회사,케이티엠오에스남부,동일인측,동일인측 합계,동일인측 합계,326917,98.75%,-,-,326917.0,98.75%,동일인측 합계,331043.0,0.9875363623456771
181,비금융회사,케이티엠오에스남부,기타주주,기타,기타,4126,1.25%,-,-,4126.0,1.25%,기타,331043.0,0.012463637654322852
182,비금융회사,케이티엠오에스남부,총계,총계,총계,331043,100.00%,-,-,331043.0,100.00%,총계,331043.0,1.0
183,비금융회사,케이에이치에스,동일인측,비영리법인,(재)케이티그룹희망나눔재단,20000,100.00%,-,-,20000.0,100.00%,비영리법인,20000.0,1.0
184,비금융회사,케이에이치에스,동일인측,동일인측 합계,동일인측 합계,20000,100.00%,-,-,20000.0,100.00%,동일인측 합계,20000.0,1.0
185,비금융회사,케이에이치에스,기타주주,기타,기타,-,-,-,-,,-,기타,20000.0,
186,비금융회사,케이에이치에스,총계,총계,총계,20000,100.00%,-,-,20000.0,100.00%,총계,20000.0,1.0
